"StockKeyLabel","AssessmentYear","AdviceCategory","lineDescription","FishingPressure","StockSize","SBL","Ecoregion","FisheriesGuild"
"agn.27.nea",2019,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"agn.27.nea",2019,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"alf.27.nea",2018,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"alf.27.nea",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"anf.27.3a46",2019,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","benthic"
"anf.27.3a46",2019,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","benthic"
"ank.27.78abd",2019,"PA","Maximum sustainable yield","GREEN","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","benthic"
"ank.27.78abd",2019,"PA","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","benthic"
"aru.27.123a4",2019,"PA","Precautionary approach","GREEN","GREY","GREY","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion","pelagic"
"aru.27.123a4",2019,"PA","Maximum sustainable yield","GREEN","GREY","GREY","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion","pelagic"
"aru.27.6b7-1012",2019,"PA","Maximum sustainable yield","GREY","GREY","GREY","Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"aru.27.6b7-1012",2019,"PA","Precautionary approach","GREY","GREY","GREY","Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"bli.27.5b67",2018,"MSY","Precautionary approach","GREEN","GREEN","GREEN","Celtic Seas Ecoregion, Faroes Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"bli.27.5b67",2018,"MSY","Maximum sustainable yield","GREEN","GREEN","GREEN","Celtic Seas Ecoregion, Faroes Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"bli.27.nea",2019,"PA","Precautionary approach","GREY","qual_RED","GREY","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"bli.27.nea",2019,"PA","Maximum sustainable yield","GREY","qual_RED","GREY","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"bll.27.3a47de",2019,"PA","Maximum sustainable yield","GREEN","GREEN","GREEN","Celtic Seas Ecoregion, Greater North Sea Ecoregion","benthic"
"bll.27.3a47de",2019,"PA","Precautionary approach","GREEN","GREEN","GREEN","Celtic Seas Ecoregion, Greater North Sea Ecoregion","benthic"
"boc.27.6-8",2019,"PA","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"boc.27.6-8",2019,"PA","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"bsf.27.nea",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"bsf.27.nea",2018,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"bsk.27.nea",2019,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"bsk.27.nea",2019,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"cod.27.21",2019,"PA","Precautionary approach","GREY","GREY","GREY","Greater North Sea Ecoregion","demersal"
"cod.27.21",2019,"PA","Maximum sustainable yield","GREY","GREY","GREY","Greater North Sea Ecoregion","demersal"
"cod.27.47d20",2019,"MSY","Maximum sustainable yield","RED","RED","RED","Greater North Sea Ecoregion","demersal"
"cod.27.47d20",2019,"MSY","Precautionary approach","RED","RED","RED","Greater North Sea Ecoregion","demersal"
"cod.27.7e-k",2019,"MSY","Precautionary approach","RED","RED","RED","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"cod.27.7e-k",2019,"MSY","Maximum sustainable yield","RED","RED","RED","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"cyo.27.nea",2019,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"cyo.27.nea",2019,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"dab.27.3a4",2019,"PA/Stock status only","Precautionary approach","GREEN","GREEN","GREEN","Greater North Sea Ecoregion","benthic"
"dab.27.3a4",2019,"PA/Stock status only","Maximum sustainable yield","GREEN","GREEN","GREEN","Greater North Sea Ecoregion","benthic"
"dgs.27.nea",2018,"MSY/PA","Precautionary approach","GREEN","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"dgs.27.nea",2018,"MSY/PA","Maximum sustainable yield","GREEN","RED","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"fle.27.3a4",2019,"PA/Stock status only","Maximum sustainable yield","GREEN","GREY","GREY","Greater North Sea Ecoregion","benthic"
"fle.27.3a4",2019,"PA/Stock status only","Precautionary approach","GREEN","GREY","GREY","Greater North Sea Ecoregion","benthic"
"gag.27.nea",2019,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"gag.27.nea",2019,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"gfb.27.nea",2018,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"gfb.27.nea",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"gug.27.3a47d",2018,"PA/Stock status only","Maximum sustainable yield","GREEN","GREY","GREY","Greater North Sea Ecoregion","demersal"
"gug.27.3a47d",2018,"PA/Stock status only","Precautionary approach","GREEN","GREY","GREY","Greater North Sea Ecoregion","demersal"
"guq.27.nea",2019,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"guq.27.nea",2019,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"gur.27.3-8",2019,"PA","Precautionary approach","GREY","GREY","GREY","Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"gur.27.3-8",2019,"PA","Maximum sustainable yield","GREY","GREY","GREY","Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"had.27.46a20",2019,"MSY","Maximum sustainable yield","RED","GREEN","GREEN","Celtic Seas Ecoregion, Greater North Sea Ecoregion","demersal"
"had.27.46a20",2019,"MSY","Precautionary approach","GREEN","GREEN","GREEN","Celtic Seas Ecoregion, Greater North Sea Ecoregion","demersal"
"had.27.7b-k",2019,"MSY","Maximum sustainable yield","RED","GREEN","GREEN","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"had.27.7b-k",2019,"MSY","Precautionary approach","GREEN","GREEN","GREEN","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"her.27.1-24a514a",2019,"MP","Precautionary approach","GREEN","GREEN","GREEN","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"her.27.1-24a514a",2019,"MP","Maximum sustainable yield","GREEN","GREEN","GREEN","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
