StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status
agn.27.nea,elasmobranch,NA,NA,0,NA,NA,NA,2019,2018,NA,NA,NA,GREY
alf.27.nea,demersal,NA,NA,240,NA,NA,NA,2018,2017,NA,NA,NA,GREY
anf.27.3a46,benthic,NA,21350,21572,326,NA,0.925,2019,2019,NA,59,NA,GREY
ank.27.78abd,benthic,0.729,NA,10174,1109,1,0.729,2019,2018,NA,4.37,NA,GREY
aru.27.123a4,pelagic,NA,NA,23859,NA,NA,NA,2019,2018,NA,301611,NA,GREY
aru.27.6b7-1012,pelagic,NA,140,36,104,NA,NA,2019,2018,NA,98.72,NA,GREY
bli.27.5b67,demersal,0.25,2669,2669,NA,0.12,0.03,2018,2018,1.35334666666667,101501,75000,GREEN
bli.27.nea,demersal,NA,NA,348,0,NA,NA,2019,2018,NA,NA,NA,GREY
bll.27.3a47de,benthic,NA,NA,1933,344,NA,NA,2019,2018,NA,39,NA,GREY
boc.27.6-8,pelagic,NA,11286,9927,1359,NA,NA,2019,2019,NA,270900,NA,GREY
bsf.27.nea,pelagic,NA,5,NA,NA,NA,NA,2018,2017,NA,NA,NA,GREY
bsk.27.nea,elasmobranch,NA,NA,0,NA,NA,NA,2019,2018,NA,NA,NA,GREY
cod.27.21,demersal,NA,284,212,72,NA,1.079,2019,2019,NA,0.207,NA,GREY
cod.27.47d20,demersal,2.06451612903226,50573,41433,9139,0.31,0.64,2019,2019,0.5365,80475,150000,RED
cod.27.47d20,demersal,2.06451612903226,50573,41433,9139,0.31,0.64,2019,2019,0.5365,80475,150000,RED
cod.27.47d20,demersal,2.06451612903226,50573,41433,9139,0.31,0.64,2019,2019,0.5365,80475,150000,RED
cod.27.47d20,demersal,2.06451612903226,50573,41433,9139,0.31,0.64,2019,2019,0.5365,80475,150000,RED
cod.27.7e-k,demersal,2.35977337110482,1565,1385,180,0.353,0.833,2019,2019,0.125242718446602,1290,10300,RED
cyo.27.nea,elasmobranch,NA,NA,2,NA,NA,NA,2019,2018,NA,NA,NA,GREY
dab.27.3a4,benthic,NA,44792,4233,40545,NA,1.145,2019,2019,NA,NA,NA,GREEN
dgs.27.nea,elasmobranch,NA,2468,273,2195,NA,0.009,2018,2018,0.558237480609945,381466,683340,GREY
fle.27.3a4,benthic,NA,2245,1587,657,NA,NA,2019,2019,NA,0.65,NA,GREY
gag.27.nea,elasmobranch,NA,NA,452,NA,NA,NA,2019,2018,NA,NA,NA,GREY
gfb.27.nea,demersal,NA,2016,1503,513,NA,NA,2018,2017,NA,1,NA,GREY
gug.27.3a47d,demersal,NA,17121,3451,13670,NA,NA,2018,2018,NA,17,NA,GREY
guq.27.nea,elasmobranch,NA,NA,2,NA,NA,NA,2019,2018,NA,NA,NA,GREY
gur.27.3-8,demersal,NA,NA,4018,NA,NA,NA,2019,2018,NA,NA,NA,GREY
had.27.46a20,demersal,1.17894736842105,39524,34470,5032,0.19,0.224,2019,2019,1.79500757575758,236941,132000,RED
had.27.46a20,demersal,1.17894736842105,39524,34470,5032,0.19,0.224,2019,2019,1.79500757575758,236941,132000,RED
had.27.46a20,demersal,1.17894736842105,39524,34470,5032,0.19,0.224,2019,2019,1.79500757575758,236941,132000,RED
had.27.46a20,demersal,1.17894736842105,39524,34470,5032,0.19,0.224,2019,2019,1.79500757575758,236941,132000,RED
had.27.7b-k,demersal,1.9325,12546,7109,5436,0.4,0.773,2019,2019,1.4205,14205,10000,RED
her.27.1-24a514a,pelagic,0.815286624203822,592899,592899,NA,0.157,0.128,2019,2019,1.24528894472362,3965000,3184000,GREEN
her.27.20-24,pelagic,1.34193548387097,41058,41058,NA,0.31,0.416,2019,2019,0.464953333333333,69743,150000,RED
her.27.3a47d,pelagic,0.8,603536,NA,NA,0.26,0.208,2019,2019,1.09214285714286,1529000,1400000,GREEN
hke.27.3a46-8abd,demersal,0.814814814814815,96188,89695,6493,0.27,0.22,2019,2019,5.09591071428571,285371,56000,GREEN
hom.27.2a4a5b6a7a-ce-k8,pelagic,1.17567567567568,101682,99072,2609,0.074,0.087,2019,2019,0.74711282988893,872831,1168272,RED
hom.27.3a4bc7d,pelagic,NA,14773,14508,265,NA,NA,2019,2018,NA,0.172,NA,GREY
ldb.27.7b-k8abd,benthic,NA,1278,913,365,NA,NA,2019,2018,NA,NA,NA,GREY
lem.27.3a47d,benthic,NA,3377,3014,332,NA,0.193,2019,2018,NA,1.676,NA,GREY
lez.27.4a6a,benthic,0.402,3258,3003,255,1,0.402,2019,2018,3.362,1.681,0.5,GREEN
lin.27.3a4a6-91214,demersal,NA,NA,20688,1012,NA,NA,2019,2018,NA,144.62,NA,GREY
mac.27.nea,pelagic,NA,NA,NA,NA,0.23,NA,2019,2018,1.6635652,4158913,2500000,GREY
mac.27.nea,pelagic,NA,NA,NA,NA,0.23,NA,2019,2018,1.6635652,4158913,2500000,GREY
mac.27.nea,pelagic,NA,NA,NA,NA,0.23,NA,2019,2018,1.6635652,4158913,2500000,GREY
mac.27.nea,pelagic,NA,NA,NA,NA,0.23,NA,2019,2018,1.6635652,4158913,2500000,GREY
meg.27.7b-k8abd,benthic,0.93717277486911,14133,12279,1855,0.191,0.179,2019,2019,2.40174641148325,100393,41800,GREEN
mon.27.78abd,benthic,0.892857142857143,23768,22371,1396,0.28,0.25,2019,2019,3.26995241942724,72848,22278,GREEN
mur.27.3a47d,demersal,NA,1648,1648,NA,NA,2.077,2019,2018,NA,0.591,NA,GREY
mur.27.67a-ce-k89a,demersal,NA,NA,1726,NA,NA,NA,2017,2016,NA,NA,NA,GREY
nep.fu.10,crustacean,NA,NA,9,NA,NA,NA,2018,2017,NA,NA,NA,GREY
nep.fu.3-4,crustacean,0.453291139240506,8435.242,7100,1336,7.9,3.581,2019,2018,NA,NA,NA,GREY
