Year,StockKeyLabel,FisheriesGuild,AssessmentYear,F,FMSY,SSB,MSYBtrigger,catches,landings,discards
2003,aru.27.6b7-1012,pelagic,2019,NA,NA,NA,NA,4341,288,4053
2004,aru.27.6b7-1012,pelagic,2019,NA,NA,NA,NA,4097,722,3375
2005,aru.27.6b7-1012,pelagic,2019,NA,NA,NA,NA,3064,626,2438
2006,aru.27.6b7-1012,pelagic,2019,NA,NA,NA,NA,1439,40,1399
2007,aru.27.6b7-1012,pelagic,2019,NA,NA,NA,NA,2119,36,2083
2008,aru.27.6b7-1012,pelagic,2019,NA,NA,NA,NA,3138,20,3118
2009,aru.27.6b7-1012,pelagic,2019,NA,NA,72.95,NA,4205,22,4183
2010,aru.27.6b7-1012,pelagic,2019,NA,NA,89.97,NA,2054,25,2029
2011,aru.27.6b7-1012,pelagic,2019,NA,NA,50.32,NA,2070,14,2056
2012,aru.27.6b7-1012,pelagic,2019,NA,NA,83.02,NA,239,36,203
2013,aru.27.6b7-1012,pelagic,2019,NA,NA,121.5,NA,134,1,133
2014,aru.27.6b7-1012,pelagic,2019,NA,NA,59.57,NA,420,22,398
2015,aru.27.6b7-1012,pelagic,2019,NA,NA,72.56,NA,34,5,29
2016,aru.27.6b7-1012,pelagic,2019,NA,NA,172.94,NA,240,0,240
2017,aru.27.6b7-1012,pelagic,2019,NA,NA,129.63,NA,159,8,151
2018,aru.27.6b7-1012,pelagic,2019,NA,NA,98.72,NA,140,36,104
2014,bll.27.3a47de,benthic,2017,NA,NA,46,NA,2086,1916,170
2015,bll.27.3a47de,benthic,2017,NA,NA,61,NA,2645,2470,175
2016,bll.27.3a47de,benthic,2017,NA,NA,57,NA,2621,2444,177
2003,boc.27.6-8,pelagic,2017,0.554,NA,2.028,NA,11387,458,10929
2004,boc.27.6-8,pelagic,2017,0.178,NA,2.735,NA,5151,675,4476
2005,boc.27.6-8,pelagic,2017,0.225,NA,2.596,NA,5959,165,5795
2006,boc.27.6-8,pelagic,2017,0.192,NA,2.997,NA,7137,2772,4365
2007,boc.27.6-8,pelagic,2017,0.479,NA,2.579,NA,21576,18387,3189
2008,boc.27.6-8,pelagic,2017,0.726,NA,3.101,NA,34751,24683,10068
2009,boc.27.6-8,pelagic,2017,1.535,NA,3.136,NA,90370,83688,6682
2010,boc.27.6-8,pelagic,2017,1.585,NA,4.778,NA,144047,137503,6544
2011,boc.27.6-8,pelagic,2017,0.5,NA,4.279,NA,37096,31295,5802
2012,boc.27.6-8,pelagic,2017,0.79,NA,5.956,NA,87355,80720,6634
2013,boc.27.6-8,pelagic,2017,0.937,NA,4.353,NA,75409,69812,5598
2014,boc.27.6-8,pelagic,2017,1.177,NA,1.993,NA,45231,43418,1813
2015,boc.27.6-8,pelagic,2017,0.402,NA,2.318,NA,17766,16837,929
2016,boc.27.6-8,pelagic,2017,0.609,NA,1.583,NA,19315,18031,1241
1997,cod.27.21,demersal,2019,1.072,NA,2.71,NA,10380,9500,880
1998,cod.27.21,demersal,2019,1.2,NA,2.038,NA,7460,6800,660
1999,cod.27.21,demersal,2019,1.233,NA,1.925,NA,7360,6600,760
2000,cod.27.21,demersal,2019,1.327,NA,1.468,NA,5550,4900,650
2001,cod.27.21,demersal,2019,1.416,NA,1.263,NA,4660,4000,660
2002,cod.27.21,demersal,2019,1.168,NA,1.24,NA,3320,2500,820
2003,cod.27.21,demersal,2019,1.03,NA,1.084,NA,2620,2000,620
2004,cod.27.21,demersal,2019,1.001,NA,0.986,NA,2490,1400,1090
2005,cod.27.21,demersal,2019,1.061,NA,1.228,NA,1690,1070,620
2006,cod.27.21,demersal,2019,1.052,NA,1.282,NA,1740,880,860
2007,cod.27.21,demersal,2019,1.243,NA,0.893,NA,1270,650,620
2008,cod.27.21,demersal,2019,1.417,NA,0.543,NA,606,450,156
2009,cod.27.21,demersal,2019,1.322,NA,0.22,NA,264,197,67
2010,cod.27.21,demersal,2019,1.002,NA,0.197,NA,325,155,170
2011,cod.27.21,demersal,2019,0.679,NA,0.277,NA,355,145,210
2012,cod.27.21,demersal,2019,0.579,NA,0.365,NA,251,94,157
2013,cod.27.21,demersal,2019,0.455,NA,0.64,NA,452,92,360
2014,cod.27.21,demersal,2019,0.436,NA,0.886,NA,458,108,350
2015,cod.27.21,demersal,2019,0.607,NA,1.399,NA,583,103,480
2016,cod.27.21,demersal,2019,0.875,NA,1.101,NA,520,300,220
2017,cod.27.21,demersal,2019,0.744,NA,0.606,NA,550,290,260
2018,cod.27.21,demersal,2019,1.079,NA,0.444,NA,284,212,72
1963,cod.27.47d20,demersal,2018,0.49,0.31,145056,150000,118283,107430,10847
1964,cod.27.47d20,demersal,2018,0.53,0.31,157003,150000,144210,134769,9449
1965,cod.27.47d20,demersal,2018,0.58,0.31,192537,150000,198155,181361,16807
1966,cod.27.47d20,demersal,2018,0.59,0.31,213818,150000,241231,215189,26091
1967,cod.27.47d20,demersal,2018,0.62,0.31,242898,150000,286540,260373,26136
1968,cod.27.47d20,demersal,2018,0.66,0.31,255832,150000,292477,275773,16681
1969,cod.27.47d20,demersal,2018,0.63,0.31,251522,150000,225762,216360,9424
1970,cod.27.47d20,demersal,2018,0.66,0.31,261751,150000,251899,232054,19859
1971,cod.27.47d20,demersal,2018,0.75,0.31,266191,150000,350021,292020,58017
1972,cod.27.47d20,demersal,2018,0.8,0.31,237657,150000,361880,327803,34046
1973,cod.27.47d20,demersal,2018,0.79,0.31,210703,150000,259740,234526,25206
1974,cod.27.47d20,demersal,2018,0.76,0.31,225799,150000,236937,209859,27104
1975,cod.27.47d20,demersal,2018,0.82,0.31,203488,150000,247633,209922,37671
1976,cod.27.47d20,demersal,2018,0.87,0.31,173152,150000,247660,202162,45542
1977,cod.27.47d20,demersal,2018,0.83,0.31,146146,150000,265383,183453,82031
1978,cod.27.47d20,demersal,2018,0.91,0.31,145892,150000,356798,307773,48985
