StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status,total
anf.27.3a46,benthic,NA,21350,21572,326,NA,0.925,2019,2019,NA,59,NA,GREY,1709856
ank.27.78abd,benthic,0.729,NA,10174,1109,1,0.729,2019,2018,NA,4.37,NA,GREY,1709856
bli.27.5b67,demersal,0.25,2669,2669,NA,0.12,0.03,2018,2018,1.35334666666667,101501,75000,GREEN,1709856
cod.27.21,demersal,NA,284,212,72,NA,1.079,2019,2019,NA,0.207,NA,GREY,1709856
cod.27.47d20,demersal,2.06451612903226,50573,41433,9139,0.31,0.64,2019,2019,0.5365,80475,150000,RED,1709856
cod.27.7e-k,demersal,2.35977337110482,1565,1385,180,0.353,0.833,2019,2019,0.125242718446602,1290,10300,RED,1709856
dab.27.3a4,benthic,NA,44792,4233,40545,NA,1.145,2019,2019,NA,NA,NA,GREEN,1709856
dgs.27.nea,elasmobranch,NA,2468,273,2195,NA,0.009,2018,2018,0.558237480609945,381466,683340,GREY,1709856
had.27.46a20,demersal,1.17894736842105,39524,34470,5032,0.19,0.224,2019,2019,1.79500757575758,236941,132000,RED,1709856
had.27.7b-k,demersal,1.9325,12546,7109,5436,0.4,0.773,2019,2019,1.4205,14205,10000,RED,1709856
her.27.1-24a514a,pelagic,0.815286624203822,592899,592899,NA,0.157,0.128,2019,2019,1.24528894472362,3965000,3184000,GREEN,1709856
her.27.20-24,pelagic,1.34193548387097,41058,41058,NA,0.31,0.416,2019,2019,0.464953333333333,69743,150000,RED,1709856
her.27.3a47d,pelagic,0.8,603536,NA,NA,0.26,0.208,2019,2019,1.09214285714286,1529000,1400000,GREEN,1709856
hke.27.3a46-8abd,demersal,0.814814814814815,96188,89695,6493,0.27,0.22,2019,2019,5.09591071428571,285371,56000,GREEN,1709856
hom.27.2a4a5b6a7a-ce-k8,pelagic,1.17567567567568,101682,99072,2609,0.074,0.087,2019,2019,0.74711282988893,872831,1168272,RED,1709856
lem.27.3a47d,benthic,NA,3377,3014,332,NA,0.193,2019,2018,NA,1.676,NA,GREY,1709856
lez.27.4a6a,benthic,0.402,3258,3003,255,1,0.402,2019,2018,3.362,1.681,0.5,GREEN,1709856
meg.27.7b-k8abd,benthic,0.93717277486911,14133,12279,1855,0.191,0.179,2019,2019,2.40174641148325,100393,41800,GREEN,1709856
mon.27.78abd,benthic,0.892857142857143,23768,22371,1396,0.28,0.25,2019,2019,3.26995241942724,72848,22278,GREEN,1709856
mur.27.3a47d,demersal,NA,1648,1648,NA,NA,2.077,2019,2018,NA,0.591,NA,GREY,1709856
nep.fu.3-4,crustacean,0.453291139240506,8435.242,7100,1336,7.9,3.581,2019,2018,NA,NA,NA,GREY,1709856
nep.fu.6,crustacean,1.02795566502463,1997,1807,190,8.12,8.347,2019,2019,1.35547785547786,1163,858,RED,1709856
nep.fu.7,crustacean,0.373333333333333,NA,4418,68,7.5,2.8,2019,2019,2.16841344416335,6,2.767,GREEN,1709856
nep.fu.8,crustacean,0.791411042944785,NA,2690,275,16.3,12.9,2019,2018,3.51027397260274,1025,292,GREEN,1709856
