StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,SSB_MSYBtrigger,SSB,MSYBtrigger,Status,total
anf.27.3a46,benthic,NA,NA,21719,756,NA,0.856,NA,78,NA,GREY,114289
ank.27.78abd,benthic,0.729,NA,10174,1109,1,0.729,NA,NA,NA,GREY,114289
bll.27.3a47de,benthic,NA,2621,2444,177,NA,NA,NA,NA,NA,GREY,114289
dab.27.3a4,benthic,NA,49896,5085,44811,NA,0.766,NA,NA,NA,GREY,114289
fle.27.3a4,benthic,NA,2436,1750,686,NA,NA,NA,4.056,NA,GREY,114289
ldb.27.7b-k8abd,benthic,NA,1278,913,365,NA,NA,NA,NA,NA,GREY,114289
lem.27.3a47d,benthic,NA,5012,3784,1228,NA,NA,NA,0.995,NA,GREY,114289
lez.27.4a6a,benthic,0.402,3258,3003,255,1,0.402,NA,NA,NA,GREY,114289
meg.27.7b-k8abd,benthic,0.93717277486911,14133,12279,1855,0.191,0.179,2.40174641148325,100393,41800,GREEN,114289
mon.27.78abd,benthic,0.892857142857143,23768,22371,1396,0.28,0.25,3.26995241942724,72848,22278,GREEN,114289
ple.27.21-23,benthic,1.0972972972973,NA,3459,1387,0.37,0.406,2.14540540540541,11907,5550,RED,114289
ple.27.420,benthic,0.947619047619048,114289,74928,39361,0.21,0.199,1.66746487329946,941449,564599,GREEN,114289
ple.27.420,benthic,0.947619047619048,114289,74928,39361,0.21,0.199,1.66746487329946,941449,564599,GREEN,114289
ple.27.420,benthic,0.947619047619048,114289,74928,39361,0.21,0.199,1.66746487329946,941449,564599,GREEN,114289
ple.27.420,benthic,0.947619047619048,114289,74928,39361,0.21,0.199,1.66746487329946,941449,564599,GREEN,114289
ple.27.420,benthic,0.947619047619048,114289,74928,39361,0.21,0.199,1.66746487329946,941449,564599,GREEN,114289
ple.27.420,benthic,0.947619047619048,114289,74928,39361,0.21,0.199,1.66746487329946,941449,564599,GREEN,114289
ple.27.420,benthic,0.947619047619048,114289,74928,39361,0.21,0.199,1.66746487329946,941449,564599,GREEN,114289
ple.27.420,benthic,0.947619047619048,114289,74928,39361,0.21,0.199,1.66746487329946,941449,564599,GREEN,114289
ple.27.420,benthic,0.947619047619048,114289,74928,39361,0.21,0.199,1.66746487329946,941449,564599,GREEN,114289
ple.27.420,benthic,0.947619047619048,114289,74928,39361,0.21,0.199,1.66746487329946,941449,564599,GREEN,114289
ple.27.420,benthic,0.947619047619048,114289,74928,39361,0.21,0.199,1.66746487329946,941449,564599,GREEN,114289
ple.27.420,benthic,0.947619047619048,114289,74928,39361,0.21,0.199,1.66746487329946,941449,564599,GREEN,114289
ple.27.420,benthic,0.947619047619048,114289,74928,39361,0.21,0.199,1.66746487329946,941449,564599,GREEN,114289
ple.27.420,benthic,0.947619047619048,114289,74928,39361,0.21,0.199,1.66746487329946,941449,564599,GREEN,114289
ple.27.420,benthic,0.947619047619048,114289,74928,39361,0.21,0.199,1.66746487329946,941449,564599,GREEN,114289
ple.27.420,benthic,0.947619047619048,114289,74928,39361,0.21,0.199,1.66746487329946,941449,564599,GREEN,114289
ple.27.7d,benthic,0.804,7764,3689,4075,0.25,0.201,1.84589173700922,47672,25826,GREEN,114289
ple.27.7e,benthic,1.27975802628744,NA,1880,623.8,0.478996800495407,0.613,2.84049452517397,1.875,0.660096325968157,RED,114289
sol.27.20-24,benthic,1.00869565217391,NA,434,NA,0.23,0.232,1.07769230769231,2802,2600,RED,114289
sol.27.4,benthic,1.09,NA,12370,1250,0.2,0.218,1.56789189189189,58012,37000,RED,114289
sol.27.7d,benthic,0.9375,2428,2228,200,0.256,0.24,0.742506882759337,14294,19251,RED,114289
sol.27.7e,benthic,0.786206896551724,NA,1075,3,0.29,0.228,1.64,4756,2900,GREEN,114289
tur.27.3a,benthic,NA,204,188,16,NA,NA,NA,0.53,NA,GREY,114289
tur.27.4,benthic,NA,NA,3493,666,NA,0.581,NA,NA,NA,GREY,114289
wit.27.3a47d,benthic,NA,NA,2739,448,NA,NA,NA,NA,NA,GREY,114289
