type_var,YEAR,typeTotal
Benthic,1950,119.147
Benthic,1951,127.684
Benthic,1952,128.518
Benthic,1953,134.869
Benthic,1954,119.792
Benthic,1955,115.154
Benthic,1956,112.668
Benthic,1957,116.713
Benthic,1958,122.491
Benthic,1959,133.492
Benthic,1960,144.103
Benthic,1961,153.901
Benthic,1962,159.565
Benthic,1963,176.228
Benthic,1964,171.425
Benthic,1965,155.755
Benthic,1966,168.06
Benthic,1967,159.458
Benthic,1968,179.946
Benthic,1969,184.712
Benthic,1970,183.149
Benthic,1971,179.956
Benthic,1972,189.569
Benthic,1973,193.117
Benthic,1974,180.21
Benthic,1975,179.798
Benthic,1976,182.64
Benthic,1977,197.425
Benthic,1978,174.134
Benthic,1979,186.774
Benthic,1980,176.522
Benthic,1981,169.033
Benthic,1982,193.967
Benthic,1983,188.115
Benthic,1984,190.645
Benthic,1985,227.719
Benthic,1986,198.212
Benthic,1987,210.206
Benthic,1988,221.563
Benthic,1989,227.324
Benthic,1990,245.556
Benthic,1991,235.029
Benthic,1992,214.566
Benthic,1993,213.343
Benthic,1994,211.564
Benthic,1995,194.279
Benthic,1996,177.594
Benthic,1997,169.244
Benthic,1998,167.11
Benthic,1999,164.824
Benthic,2000,172.367
Benthic,2001,169.21
Benthic,2002,150.004
Benthic,2003,142.951
Benthic,2004,138.276
Benthic,2005,122.853
Benthic,2006,127.31063
Benthic,2007,122.91999
Benthic,2008,116.50011
Benthic,2009,116.9293
Benthic,2010,123.57258
Benthic,2011,127.37373
Benthic,2012,130.0466
Benthic,2013,137.93464
Benthic,2014,129.86776
Benthic,2015,135.80176
Benthic,2016,145.24011
Benthic,2017,130.79458
Benthic,2018,95.39924522
Demersal,1950,234.104
Demersal,1951,254.842
Demersal,1952,265.397
Demersal,1953,264.427
Demersal,1954,301.844
Demersal,1955,342.365
Demersal,1956,351.711
Demersal,1957,407.416
Demersal,1958,403.704
Demersal,1959,407.168
Demersal,1960,440.375
Demersal,1961,456.956
Demersal,1962,435.52
Demersal,1963,549.809
Demersal,1964,663.255
Demersal,1965,779.265
Demersal,1966,978.018
Demersal,1967,858.513
Demersal,1968,936.662
Demersal,1969,1329.98
Demersal,1970,1535.841
Demersal,1971,1398.097
Demersal,1972,1325.54
Demersal,1973,1168.314
Demersal,1974,1487.061
Demersal,1975,1301.578
Demersal,1976,1532.531
Demersal,1977,1565.284
Demersal,1978,1552.893
Demersal,1979,1316.132
Demersal,1980,1474.393
Demersal,1981,1417.968
Demersal,1982,1454.441
Demersal,1983,1342.512
Demersal,1984,1435.227
Demersal,1985,1355.503
Demersal,1986,1586.217
Demersal,1987,1468.86
Demersal,1988,1555.064
Demersal,1989,1514.795
Demersal,1990,1088.477
Demersal,1991,1357.46
Demersal,1992,1431.137
Demersal,1993,1132.47
Demersal,1994,1399.137
Demersal,1995,1522.688
Demersal,1996,1221.358
Demersal,1997,1584.593
Demersal,1998,1403.564
Demersal,1999,1049.759
Demersal,2000,993.976
Demersal,2001,1142.969
Demersal,2002,1190.223
Demersal,2003,569.065
Demersal,2004,616.426
Demersal,2005,401.202
Demersal,2006,522.92002
Demersal,2007,427.26468
Demersal,2008,584.09319
Demersal,2009,581.18048
Demersal,2010,619.65994
Demersal,2011,632.00461
Demersal,2012,274.8461
Demersal,2013,464.80294
Demersal,2014,452.69851
Demersal,2015,509.38018
Demersal,2016,271.12732
Demersal,2017,742.43864
Demersal,2018,199.59267259
Pelagic,1950,1241.299
Pelagic,1951,1367.518
Pelagic,1952,1099.275
Pelagic,1953,1367.595
Pelagic,1954,1532.205
Pelagic,1955,1298.444
Pelagic,1956,1371.214
Pelagic,1957,1309.916
Pelagic,1958,1101.389
Pelagic,1959,1206.524
Pelagic,1960,1068.695
